Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Italy","NET.IT279A","RETE REGIONALE QUALITA' DELL'ARIA DELLA TOSCANA","IT0945A","PO-FERRUCCI","SPO.IT0945A_6001_BETA_2014-03-07_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2024","12.938","ug/m3","96.45","1","Traffic","Urban","11.1053","43.8747","62.0","Prato                                                                           ","IT502C1                                           ","194223","E1a/validated data AQ e-Reporting","10/02/2026 23:01:07","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0945A_6001_BETA_2014-03-07_00_00_00.parquet","day"
"Italy","NET.IT279A","RETE REGIONALE QUALITA' DELL'ARIA DELLA TOSCANA","IT0945A","PO-FERRUCCI","SPO.IT0945A_6001_BETA_2014-03-07_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-3daysAbove50","3 consecutive days in exceedance of 50","2024","1.000","count","96.45","1","Traffic","Urban","11.1053","43.8747","62.0","Prato                                                                           ","IT502C1                                           ","194223","E1a/validated data AQ e-Reporting","10/02/2026 23:01:17","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0945A_6001_BETA_2014-03-07_00_00_00.parquet","day"
"Italy","NET.IT280A","RETE MONITORAGGIO ARIA REGIONE SARDEGNA","IT2056A","CENCA1","SPO.IT2056A_6001_BETA_2012-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2024","13.135","ug/m3","88.80","1","Traffic","Urban","9.1150","39.2358","33.0","Cagliari                                                                        ","IT027C1                                           ","151005","E1a/validated data AQ e-Reporting","10/02/2026 23:01:07","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2056A_6001_BETA_2012-01-01_00_00_00.parquet","day"
"Italy","NET.IT280A","RETE MONITORAGGIO ARIA REGIONE SARDEGNA","IT2056A","CENCA1","SPO.IT2056A_6001_BETA_2012-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P3Y","3 subsequent calendar years mean","2024","12.778","ug/m3","93.61","1","Traffic","Urban","9.1150","39.2358","33.0","Cagliari                                                                        ","IT027C1                                           ","151005","E1a/validated data AQ e-Reporting","10/02/2026 23:04:51","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2056A_6001_BETA_2012-01-01_00_00_00.parquet","day"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT1894A","RIPATRANSONE","SPO.IT1894A_6001_gravi_2018-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-hr-min","1 year hour min","2024","0.900","ug/m3","97.50","1","Background","Rural","13.7847","42.9922","412.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:03:46","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1894A_6001_gravi_2018-01-01_00_00_00.parquet","hour"
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT1936A","VE - Malcontenta","SPO.IT1936A_6001_BETA_2022-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-max","1 year day max","2024","111.000","ug/m3","98.63","1","Industrial","Suburban","12.2056","45.4383","1.0","Venezia                                                                         ","IT011C1                                           ","258685","E1a/validated data AQ e-Reporting","10/02/2026 23:01:43","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1936A_6001_BETA_2022-01-01_00_00_00.parquet","day"
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT1936A","VE - Malcontenta","SPO.IT1936A_6001_BETA_2022-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-daysAbove25","1 year day exceed 25","2024","79.000","count","98.63","1","Industrial","Suburban","12.2056","45.4383","1.0","Venezia                                                                         ","IT011C1                                           ","258685","E1a/validated data AQ e-Reporting","10/02/2026 23:02:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1936A_6001_BETA_2022-01-01_00_00_00.parquet","day"
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT1936A","VE - Malcontenta","SPO.IT1936A_6001_BETA_2022-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-P1D-per99","1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day","2024","93.000","ug/m3","98.63","1","Industrial","Suburban","12.2056","45.4383","1.0","Venezia                                                                         ","IT011C1                                           ","258685","E1a/validated data AQ e-Reporting","10/02/2026 23:04:44","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1936A_6001_BETA_2022-01-01_00_00_00.parquet","day"
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT1871A","ESTE","SPO.IT1871A_6001_BETA_2014-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2024","21.803","ug/m3","98.36","1","Industrial","Suburban","11.6658","45.2267","12.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:01:07","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1871A_6001_BETA_2014-01-01_00_00_00.parquet","day"
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT1177A","VI - Quartiere Italia","SPO.IT1177A_6001_BETA_2022-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-daysAbove25","1 year day exceed 25","2024","93.000","count","97.81","1","Background","Urban","11.5397","45.5606","36.0","Vicenza                                                                         ","IT514C1                                           ","109855","E1a/validated data AQ e-Reporting","10/02/2026 23:02:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1177A_6001_BETA_2022-01-01_00_00_00.parquet","day"
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT1177A","VI - Quartiere Italia","SPO.IT1177A_6001_BETA_2022-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-P1D-per99","1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day","2024","89.000","ug/m3","97.81","1","Background","Urban","11.5397","45.5606","36.0","Vicenza                                                                         ","IT514C1                                           ","109855","E1a/validated data AQ e-Reporting","10/02/2026 23:04:44","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1177A_6001_BETA_2022-01-01_00_00_00.parquet","day"
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT1594A","BL - Parco Città di Bologna","SPO.IT1594A_6001_BETA_2023-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2024","12.442","ug/m3","98.36","1","Background","Urban","12.2169","46.1414","401.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:01:07","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1594A_6001_BETA_2023-01-01_00_00_00.parquet","day"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT2177A","San Benedetto del Tronto","SPO.IT2177A_6001_BETA_2022-08-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-P1D-per95.07","1 year 95.07 percentile of daily means (P1D) or .../aq/primaryObservation/day","2024","26.800","ug/m3","93.17","1","Traffic","Urban","13.8794","42.9444","7.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:04:38","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2177A_6001_BETA_2022-08-01_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT2177A","San Benedetto del Tronto","SPO.IT2177A_6001_BETA_2022-08-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P3Y","3 subsequent calendar years mean","2024","11.813","ug/m3","63.87","1","Traffic","Urban","13.8794","42.9444","7.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:04:51","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2177A_6001_BETA_2022-08-01_00_00_00.parquet","hour"
