Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Observation Frequency
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2033A,RG - Campo Atletica,SPO.IT2033A_7_UV-P_2011-01-01_00:00:00,O3,Ozone (air),P1Y-dmaxAbove100,1 year daymax exceed 100,2023,109.0,count,94.79,1,Background,Suburban,14.734,36.9171,501.0,Ragusa                                                                          ,IT523C1                                           ,71438.0,E1a/validated data AQ e-Reporting,10/02/2026 23:02:48,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT1899A,Misterbianco,SPO.IT1899A_7_UV-P_2008-09-25_00:00:00,O3,Ozone (air),P1Y-dx-max,1 year day max max,2023,136.105,ug/m3,96.16,1,Background,Urban,15.0108,37.5157,160.0,Misterbianco,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:11,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2033A,RG - Campo Atletica,SPO.IT2033A_7_UV-P_2011-01-01_00:00:00,O3,Ozone (air),P1Y-dx-max26,1 year daymax max 26,2023,116.014,ug/m3,94.79,1,Background,Suburban,14.734,36.9171,501.0,Ragusa                                                                          ,IT523C1                                           ,71438.0,E1a/validated data AQ e-Reporting,10/02/2026 23:03:15,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT1899A,Misterbianco,SPO.IT1899A_7_UV-P_2008-09-25_00:00:00,O3,Ozone (air),P3Y,3 subsequent calendar years mean,2023,60.674,ug/m3,90.26,1,Background,Urban,15.0108,37.5157,160.0,Misterbianco,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:51,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2052A,CT - Parco Gioeni,SPO.IT2052A_7_UV-P_2012-02-24_00:00:00,O3,Ozone (air),AOT40cmeasured,AOT40c UNCORRECTED for data capture,2023,14884.043,ug/m3,97.37,1,Background,Urban,15.0811,37.5293,135.0,Catania                                                                         ,IT010C1                                           ,296266.0,E1a/validated data AQ e-Reporting,10/02/2026 22:18:26,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2052A,CT - Parco Gioeni,SPO.IT2052A_7_UV-P_2012-02-24_00:00:00,O3,Ozone (air),P1Y,Annual mean / 1 calendar year,2023,67.179,ug/m3,94.32,1,Background,Urban,15.0811,37.5293,135.0,Catania                                                                         ,IT010C1                                           ,296266.0,E1a/validated data AQ e-Reporting,10/02/2026 23:01:07,hour
Italy,NET.IT247A,PROVINCIA DI BARI,IT1818A,ALTAMURA,SPO.IT1818A_7_UV-P_2009-07-01_00:00:00,O3,Ozone (air),AOT40f,AOT40 for forest protection,2023,16617.912,ug/m3,99.18,1,Traffic,Suburban,16.5603,40.8278,100.0,Altamura                                                                        ,IT061C1                                           ,69999.0,E1a/validated data AQ e-Reporting,10/02/2026 22:18:33,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2309A,Barcellona Pozzo di Gotto,SPO.IT2309A_7_UV-P_2021-04-30_00:00:00,O3,Ozone (air),P1Y-day-per50,1 year 50 %ile of daily values in a year,2023,66.063,ug/m3,98.63,1,Background,Suburban,15.2312,38.1603,34.6,Barcellona Pozzo di Gotto,,,E1a/validated data AQ e-Reporting,10/02/2026 23:02:14,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2309A,Barcellona Pozzo di Gotto,SPO.IT2309A_7_UV-P_2021-04-30_00:00:00,O3,Ozone (air),P1Y-hr-per50,1 year 50 percentile,2023,66.069,ug/m3,94.75,1,Background,Suburban,15.2312,38.1603,34.6,Barcellona Pozzo di Gotto,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:53,hour
Italy,NET.IT247A,PROVINCIA DI BARI,IT1818A,ALTAMURA,SPO.IT1818A_7_UV-P_2009-07-01_00:00:00,O3,Ozone (air),P1Y-dx-max26,1 year daymax max 26,2023,104.661,ug/m3,97.81,1,Traffic,Suburban,16.5603,40.8278,100.0,Altamura                                                                        ,IT061C1                                           ,69999.0,E1a/validated data AQ e-Reporting,10/02/2026 23:03:15,hour
